timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615919049591370,-2,1,5,0,-17,-7,6,3
1615919049591370,1,0,-2,-2,-4,-3,-6,-1
1615919049591370,-3,0,-2,4,11,-1,1,5
1615919049591370,-3,-2,-1,-4,-19,11,10,1
1615919049614378,-1,-3,-4,0,16,-15,-4,3
1615919049614378,-1,-2,4,-1,-6,-1,-1,-6
1615919049615375,-3,0,-4,-1,-5,0,-24,0
1615919049615375,11,0,0,-1,3,-6,-24,1
1615919049628338,-4,-2,-1,-2,-11,-11,0,-9
1615919049628338,-1,0,-1,-3,0,13,8,2
1615919049629335,-1,0,3,5,8,-2,-1,6
1615919049629335,1,1,0,-1,9,-7,1,-6
1615919049651300,6,-2,-1,-3,-15,-2,-10,-2
1615919049651300,-4,0,-3,1,-4,-2,-12,-3
1615919049651300,0,0,-2,-1,23,15,2,0
1615919049651300,-2,-1,1,1,3,-4,9,2
1615919049673217,1,-1,-2,-3,6,-1,19,8
1615919049673217,-2,0,-1,2,10,-3,-21,-5
1615919049674213,-1,1,-1,-1,35,-1,2,-3
1615919049674213,-3,0,-4,-4,0,2,21,0
1615919049688859,-3,-3,-4,2,0,1,11,2
1615919049688859,1,-1,-2,-1,22,6,-3,1
1615919049688859,3,3,1,1,-3,-11,-13,-5
1615919049688859,-31,-7,-2,-1,-7,-2,35,-5
1615919049711386,-3,2,2,-1,-6,4,-13,9
1615919049711386,1,-1,0,2,6,4,1,-3
1615919049712216,0,0,0,-5,-18,0,-1,-1
1615919049712216,3,0,1,-1,-1,-4,-7,0
1615919049735161,1,0,0,-1,-6,9,7,-1
1615919049735161,-4,-3,0,-6,-12,-4,-7,-2
1615919049735161,-2,-4,-4,-1,-4,-8,10,0
1615919049735161,4,0,0,-1,-12,-11,3,6
1615919049748126,-2,-2,0,0,-2,8,8,-4
1615919049748126,4,0,-3,-1,-5,-10,3,0
1615919049749123,-5,-1,0,0,-3,1,1,-5
1615919049749123,1,-2,-5,-4,1,6,-4,4
1615919049771489,0,-1,-5,-3,-4,-5,6,-4
1615919049771489,-1,2,9,6,2,8,0,-3
1615919049771489,0,-3,-2,-6,-22,-4,10,6
1615919049771489,-1,1,-2,3,5,2,-15,2
1615919049794433,-2,0,1,4,10,2,-10,-10
1615919049794433,0,-2,-4,-5,-12,-3,24,3
1615919049794433,-2,-1,0,-1,-6,-15,6,-1
1615919049794433,2,-3,1,1,15,1,-41,-1
1615919049808417,6,1,-2,-4,-11,-7,-8,0
1615919049808417,-24,-4,-2,1,6,-1,-5,-5
1615919049809416,5,0,-1,2,21,3,1,-3
1615919049809416,2,1,-3,-7,-23,-5,-14,-13
1615919049831358,-2,0,0,0,13,3,-10,0
1615919049831358,6,-1,-3,-4,-11,-9,-1,2
1615919049831358,-2,-2,-1,-1,-8,-11,-8,-1
1615919049831358,-5,-2,-1,-1,20,15,1,-2
1615919049854125,1,1,0,-1,-24,-15,-4,2
1615919049854125,4,0,-3,2,-4,9,10,5
1615919049855241,-5,0,-1,-2,3,14,-8,-6
1615919049855241,6,-2,-1,-3,2,-15,-3,0
1615919049868842,-4,-3,-2,-1,-11,10,10,-3
1615919049868842,1,0,-4,-3,-7,-12,-1,2
1615919049868842,-4,-2,5,4,7,-2,-42,0
1615919049868842,-4,0,-2,-2,3,-4,8,-4
1615919049907062,-3,0,1,-2,-2,-2,-4,0
1615919049907062,0,-2,-6,0,-8,0,-7,-3
1615919049907062,0,-2,-2,0,7,11,13,-1
1615919049907062,2,-1,1,-1,-6,2,19,7
1615919049914022,1,0,-1,2,9,-3,-7,-2
1615919049914022,2,0,3,-4,-6,1,-2,-3
1615919049914994,-3,-1,-2,-3,-13,-6,7,-1
1615919049914994,0,0,3,5,20,11,5,4
1615919049928956,4,-2,-3,-5,-21,-13,0,-2
1615919049928956,-20,-1,3,3,7,-10,18,-1
1615919049928956,1,-1,0,1,-9,-3,24,-1
1615919049928956,0,-1,-4,0,-10,-2,-5,-2
1615919049950899,1,0,1,2,32,17,2,-2
1615919049950899,6,-1,-1,-4,-24,2,1,-1
1615919049951894,-3,-2,-3,-4,18,-5,-28,-5
1615919049951894,-1,1,8,6,10,1,1,0
1615919049973594,-6,-1,0,-3,-32,-7,6,-1
1615919049973594,4,3,-2,-3,-3,1,-7,1
1615919049974489,-8,-2,-5,-4,-7,-6,14,7
1615919049974489,2,-2,-3,-2,-5,-8,2,-2
1615919049988831,-1,-2,0,0,2,25,6,5
1615919049988831,-1,-3,-1,1,14,-20,-23,-4
1615919049988831,3,1,4,0,-5,0,3,0
1615919049988831,-1,-1,-2,-1,-9,-7,-6,-2
1615919050011483,-4,-1,1,1,9,-8,0,-2
1615919050011483,0,0,-1,3,-16,2,0,-2
1615919050011483,0,-2,1,-6,-19,12,12,8
1615919050011483,0,-3,-6,-6,-16,-10,0,1
1615919050033430,-2,0,8,5,9,-7,-4,-1
1615919050033430,2,-1,-2,-1,-15,0,-15,-4
