timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615919132888684,-2,-2,-2,5,-14,-35,-3,-2
1615919132888684,-2,-2,-4,5,-7,-1,3,1
1615919132896663,-2,1,5,-8,-7,-1,0,-2
1615919132896663,-1,1,0,8,1,-1,-7,-2
1615919132911841,0,-3,-4,-8,54,10,16,-1
1615919132911841,-3,-1,-3,-4,11,3,-27,-1
1615919132912839,-2,0,0,1,-25,0,2,-2
1615919132912839,-3,-4,-8,-9,-13,-1,-6,-2
1615919132934818,-2,0,8,7,-7,4,8,-1
1615919132934818,-1,-3,-11,-2,-6,-2,0,-2
1615919132935862,0,0,9,-2,7,7,-1,-1
1615919132935862,-2,-1,0,1,17,-9,-1,0
1615919132948159,-1,-1,-9,-3,-26,10,-14,-1
1615919132948159,1,0,2,5,-9,-30,6,-2
1615919132956848,-1,-4,-8,-7,6,4,-4,-1
1615919132956848,-2,1,0,12,-14,6,4,-2
1615919132971783,-1,-2,0,-13,-8,2,-4,-2
1615919132971783,0,-3,-2,-1,8,12,0,-2
1615919132972779,0,-2,-3,0,-8,4,4,1
1615919132972779,0,0,7,2,-31,-21,0,0
1615919132994747,0,0,1,3,33,12,-18,-2
1615919132994747,-2,-2,0,-1,-9,-6,6,-1
1615919132995721,-1,0,-6,-5,4,5,-4,1
1615919132995721,1,0,10,-4,9,5,5,1
1615919133008762,0,-3,-3,6,-17,-2,4,-3
1615919133008762,0,0,-3,-4,26,8,-12,1
1615919133016754,1,-3,-4,-1,-17,-4,7,0
1615919133016754,0,-1,-9,0,29,-8,0,-1
1615919133031699,-1,-1,-2,-1,24,8,0,1
1615919133031699,0,1,7,0,-3,-3,1,0
1615919133032678,-3,-4,-2,0,24,-5,-9,-4
1615919133032678,0,0,6,-2,12,11,-2,0
1615919133055325,0,1,-2,-11,-18,-5,14,1
1615919133055325,-2,-3,-8,16,-33,5,-21,-2
1615919133055325,0,2,2,-10,13,5,-1,-1
1615919133055325,1,0,-4,11,3,0,0,0
1615919133077826,-2,0,-6,-14,-14,-2,-4,-1
1615919133077826,0,3,14,24,15,7,6,-1
1615919133077826,1,0,6,-20,-8,-3,3,2
1615919133077826,-3,-6,-10,-12,13,-18,-9,-1
1615919133092151,-1,-2,2,4,-16,-25,8,-3
1615919133092151,-1,1,-4,13,-7,5,0,-2
1615919133092793,1,1,-5,-2,-32,4,1,1
1615919133092793,0,0,0,2,-14,-6,-4,-1
1615919133114917,-2,-2,-2,-6,20,9,3,0
1615919133114917,-1,0,4,-11,-16,-6,8,-2
1615919133115914,1,1,-1,7,3,-20,-11,0
1615919133115914,-1,0,-2,-7,-9,-2,-4,-3
1615919133137829,-2,1,3,11,3,9,2,1
1615919133137829,-1,-2,-6,-15,-38,-3,-2,-1
1615919133137829,0,-2,-6,3,22,-9,2,-1
1615919133137829,-2,0,-8,-3,-11,15,5,0
1615919133152445,-1,0,13,4,-37,-33,-14,-3
1615919133152445,-1,-2,5,11,28,-6,2,-1
1615919133159672,-1,-2,-5,-23,0,1,-1,-1
1615919133159672,-2,1,11,13,-4,1,1,-1
