timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615920618738588,3,1,-3,-6,4,1,-4,0
1615920618738588,-3,-3,6,-2,-18,-1,16,-9
1615920618754545,-1,-2,-5,9,13,-7,16,12
1615920618754545,-1,-3,2,1,48,12,-5,-7
1615920618755543,0,-2,3,-4,-52,-19,-5,3
1615920618755543,0,1,-5,3,17,2,-13,-2
1615920618770559,-1,1,3,1,13,-13,14,0
1615920618770559,0,1,2,-3,-8,-5,-7,0
1615920618776570,0,-2,-2,-3,9,7,6,2
1615920618776570,-1,-1,-2,9,-4,0,8,2
1615920618791487,-3,-2,1,0,14,2,-18,-8
1615920618791487,5,0,-2,-4,-22,-7,2,7
1615920618798467,-2,-2,-4,3,19,-2,-13,-3
1615920618798467,-2,0,5,-5,-17,-7,-9,-2
1615920618814424,-2,-3,-4,4,12,12,30,5
1615920618814424,1,5,0,-4,-47,-13,-4,-2
1615920618821406,-3,-2,-2,0,30,8,6,2
1615920618821406,-2,-4,-4,-1,5,-2,-20,-4
1615920618829984,2,1,2,2,35,21,16,11
1615920618829984,-2,-4,-7,-11,-26,-21,-14,-9
1615920618836926,-1,-1,-2,6,-17,-16,15,2
1615920618836926,0,-2,-3,-11,-3,-10,18,-2
1615920618859183,-1,1,3,3,18,-7,0,9
1615920618859183,-1,1,4,5,-25,2,-8,-5
1615920618860174,-3,-5,-5,-4,22,-6,0,-3
1615920618860174,1,-1,0,7,6,8,-17,-2
1615920618874163,1,1,0,-4,-28,-13,4,-1
1615920618874163,-1,-1,0,-3,5,5,3,1
1615920618875142,-1,2,4,-4,2,3,-8,-4
1615920618875142,2,3,0,4,8,-6,-8,0
1615920618890121,-5,-4,-6,-12,-33,2,7,-2
1615920618890121,-1,-2,10,9,12,8,-9,-1
1615920618896106,-3,-4,-3,0,2,10,0,-1
1615920618896106,0,0,-3,-2,1,5,-9,-9
1615920618911175,2,1,0,1,-16,6,5,-1
1615920618911175,-1,0,-9,-5,8,-12,-22,-2
1615920618919379,-1,-1,3,1,15,-15,18,-3
1615920618919379,-2,-2,3,0,-6,7,-1,9
1615920618934527,-2,-1,-4,-5,-19,0,13,-4
1615920618934527,-1,-3,-2,-4,-11,-32,-44,-10
1615920618935521,1,2,3,7,26,1,3,1
1615920618935521,-1,1,-8,-5,4,6,-8,-4
1615920618957483,1,0,5,-3,-28,-22,2,6
1615920618957483,-4,-3,-3,3,10,3,21,4
1615920618957483,-1,1,-1,-1,-19,3,-7,-2
