timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1622149848426475,-7,-4,-8,-19,-7,-31,24,-10
1622149848426475,-1,1,6,14,-30,-4,-2,19
1622149848441038,4,-1,6,-2,55,22,8,-5
1622149848441038,-3,-5,4,14,-7,14,25,6
1622149848447024,-1,-1,-3,-2,-5,-20,0,-4
1622149848447024,-2,-4,0,13,-17,18,-36,-15
1622149848463025,1,5,7,-12,-15,34,14,14
1622149848463025,0,-4,-11,-19,-19,1,-10,5
1622149848477342,2,1,7,26,12,8,2,-8
1622149848477342,-5,-2,-4,4,0,-16,3,-8
1622149848486639,0,2,3,-11,-25,-30,0,8
1622149848486639,-2,-4,-5,-9,0,19,3,11
1622149848487643,3,1,2,-8,0,1,-17,4
1622149848487643,-3,2,8,-1,-19,-44,-38,-30
1622149848500608,-2,-1,-2,17,-33,-6,43,3
1622149848500608,4,1,-6,-26,-20,-40,21,-3
1622149848507616,-6,-7,-6,-7,15,-15,-13,0
1622149848507616,-2,1,-5,14,16,14,-10,-1
1622149848522795,-1,-3,-5,-17,-22,-11,6,0
1622149848522795,-7,0,3,19,54,-6,20,-31
1622149848529870,3,-1,-6,-37,12,-4,-37,23
1622149848529870,-1,-1,-1,10,-4,-23,0,-7
1622149848545880,3,0,-6,-7,28,69,-5,15
1622149848545880,-2,-3,-9,3,29,-35,-4,-27
1622149848547850,3,4,4,11,18,-15,-7,-2
1622149848547850,0,1,-6,-16,9,42,8,3
1622149848560842,-5,0,8,8,38,-2,-15,0
1622149848560842,4,-3,-11,4,-14,14,-21,-31
1622149848567925,-4,3,18,-29,-53,-33,47,18
1622149848567925,-1,0,-8,10,10,28,25,7
1622149848583418,3,-1,5,15,3,-7,-30,-17
1622149848583418,-6,-1,-9,-27,-10,17,-12,-16
1622149848590403,2,-2,-4,8,18,-18,-16,14
1622149848590403,1,0,-2,-17,2,-7,32,26
1622149848606333,-2,-1,-9,-4,2,-9,-6,-27
1622149848606333,1,1,15,22,5,19,-4,8
1622149848608328,1,-2,-7,0,47,14,-20,1
1622149848608328,0,3,-1,-19,-51,10,22,4
1622149848620818,0,-1,-4,9,34,-5,18,9
1622149848620818,3,4,4,-6,-13,2,-40,4
1622149848628821,-4,-7,-5,1,-14,34,13,-17
1622149848628821,-1,-5,3,8,28,-6,-13,-1
1622149848643400,-4,-4,-15,-24,-38,-12,-34,-20
1622149848643400,-2,3,6,14,24,29,18,39
1622149848650346,3,3,6,-3,-28,14,8,-10
1622149848650346,-2,-7,-2,-2,-53,-87,-37,-37
1622149848666322,3,-2,-5,-18,-9,23,25,30
1622149848666322,-7,-6,-9,-12,14,10,-29,-10
1622149848668323,-3,2,3,15,-8,-27,-2,-3
1622149848668323,3,4,4,6,25,16,1,4
1622149848681262,-2,-1,5,-6,-21,-2,5,0
1622149848681262,-4,-3,3,3,-20,-42,-11,3
1622149848687272,-1,-3,-17,7,-41,9,32,-14
1622149848687272,2,-1,12,5,31,21,-25,6
1622149848702101,0,5,4,3,-4,-10,4,-5
1622149848702101,1,-1,-2,11,-46,-74,-20,8
1622149848710278,-4,-4,-6,-18,5,2,60,-18
1622149848710278,3,3,4,20,29,-7,-42,34
1622149848725884,0,-2,-1,8,11,42,-6,-28
1622149848725884,2,1,5,-8,-24,-28,11,26
1622149848725884,-2,-6,-10,-4,12,-13,-53,-21
1622149848725884,-3,-5,-15,-33,-45,-5,16,-34
1622149848741887,-3,2,23,24,18,-24,20,19
1622149848741887,-8,0,-7,5,-2,36,-14,-21
1622149848747846,7,3,13,6,16,-22,-13,13
1622149848747846,-3,2,5,-19,-30,15,26,-7
1622149848762150,0,-2,-7,14,-4,9,-9,0
1622149848762150,-2,0,2,-11,-23,13,15,-3
1622149848769879,-4,0,-8,-8,20,8,-23,0
1622149848769879,-3,-5,-4,3,-18,-42,13,3
1622149848786875,6,0,-9,2,27,-2,-1,-5
1622149848786875,2,1,23,2,-28,-34,2,8
1622149848788871,-6,-5,-4,3,9,12,2,-19
1622149848788871,5,0,1,-11,-23,-3,-5,36
1622149848801067,-4,-2,-5,-11,2,48,-6,-1
1622149848801067,2,0,-5,5,45,36,-21,-10
1622149848807850,-4,0,0,-11,-95,-39,0,6
1622149848807850,-3,-3,-5,2,-13,-1,17,-9
1622149848822894,-2,-3,-6,-13,34,7,-26,3
1622149848822894,1,1,2,18,-31,-16,30,-2
1622149848829783,-1,0,7,0,61,22,-5,9
1622149848829783,-2,2,-3,-3,-8,-20,-39,-31
1622149848845886,-3,-2,-4,-11,-2,-13,36,-3
1622149848845886,-2,-2,-6,5,13,16,-30,-10
1622149848845886,0,2,2,-2,-10,15,-3,9
1622149848845886,-3,-7,-9,0,13,-49,10,6
1622149848861017,-3,3,11,1,-19,16,4,-26
1622149848861017,2,-4,-14,-3,19,-1,29,12
1622149848867930,-3,0,6,10,-8,0,12,12
1622149848867930,-6,-7,-10,-26,-24,14,-9,-23
1622149848883853,1,1,4,4,-52,-50,-20,0
1622149848883853,2,1,-6,2,74,17,-2,15
1622149848889837,-3,-3,-8,8,13,19,-22,-33
1622149848889837,0,4,25,-1,28,28,12,-17
1622149848906058,-2,-3,-7,24,-3,14,11,26
1622149848906058,1,0,-6,-14,-26,-45,12,3
1622149848906058,1,-1,5,-1,-1,22,-14,-1
1622149848906058,0,-1,-16,-22,17,4,7,-9
1622149848921101,3,-4,-6,-8,-36,9,-5,7
1622149848921101,-5,1,11,-15,30,41,7,-44
1622149848927928,3,2,-8,2,-39,-52,25,49
1622149848927928,-4,-2,-1,23,-1,7,-16,0
1622149848943416,2,0,4,2,27,-16,21,25
1622149848943416,3,-4,-13,-20,-34,4,-1,-10
1622149848950424,-3,1,3,5,32,14,28,-17
1622149848950424,2,0,9,-25,-21,36,-61,11
1622149848966789,1,2,-6,27,-26,-29,-4,-5
1622149848966789,-3,1,4,-13,-14,-18,8,-1
1622149848966789,-2,-2,1,0,40,-4,-12,-20
1622149848966789,-1,-3,-8,9,-19,6,25,6
1622149848981288,0,-2,0,-9,42,3,4,-1
1622149848981288,-5,-2,-7,-12,-91,-36,-14,-9
1622149848987303,-3,0,8,16,15,36,42,6
1622149848987303,5,2,-3,16,-3,-7,1,9
1622149849004018,2,-2,-3,-21,-5,32,14,-6
1622149849004018,0,-4,-6,-5,16,36,-46,-2
1622149849010284,-2,-4,-1,-14,26,32,60,40
1622149849010284,-1,-5,-6,26,10,-10,-53,-19
1622149849025820,-4,-4,-2,-7,-8,26,50,1
1622149849025820,1,0,15,20,53,2,-24,-2
1622149849026819,-3,-3,-6,-1,-57,2,17,0
1622149849026819,4,1,-8,-15,22,-23,-17,11
1622149849047839,0,3,7,-9,4,0,-31,1
1622149849047839,-3,-1,17,38,22,-47,24,4
1622149849048837,-1,-4,-5,-5,-14,-8,-26,-18
1622149849048837,-1,0,-2,4,30,-23,6,-11
1622149849064927,-5,0,1,2,-4,-13,-19,-47
1622149849064927,2,-1,-12,-10,7,5,63,74
1622149849070097,7,3,-2,-26,16,37,-70,-23
1622149849070097,1,1,-6,-4,-14,13,5,-2
1622149849085309,-5,-4,-6,2,29,26,5,-3
1622149849085309,6,8,8,5,7,-12,0,-7
1622149849086305,-2,-3,-7,32,-41,24,-19,6
1622149849086305,-3,-6,-1,-18,37,29,13,-3
1622149849108578,-2,7,1,-1,-17,-55,6,6
1622149849108578,-4,-4,3,4,22,21,33,8
1622149849108578,4,-4,0,9,1,-29,-51,-27
1622149849108578,-1,8,-3,-28,-22,0,0,1
1622149849123814,-1,-3,4,-12,-29,24,3,27
1622149849123814,3,2,0,6,21,-17,8,-5
1622149849129833,-4,0,-1,-19,14,-28,-3,-25
1622149849129833,-4,-9,0,19,-24,-21,-6,10
1622149849145942,3,2,-10,-5,-18,26,26,1
1622149849145942,1,1,-5,6,29,28,-36,-17
1622149849146916,2,-1,6,17,-5,6,47,24
1622149849146916,-3,-2,2,-5,24,3,-1,-3
1622149849167879,1,-2,-8,-23,40,-54,-35,3
1622149849167879,-4,-3,1,-2,-38,-8,-16,-21
1622149849168855,3,4,1,-5,-7,-6,22,20
1622149849168855,-4,-1,-1,18,23,27,4,-18
1622149849184833,-3,-2,7,14,-24,40,6,3
1622149849184833,3,0,-4,-21,49,60,35,9
1622149849189916,0,-1,-2,0,-1,-24,-23,6
1622149849189916,-6,-2,-5,-8,-68,-11,-12,-25
1622149849206031,3,1,0,9,10,-13,-2,25
1622149849206031,-4,0,0,-19,-27,-18,-6,-17
1622149849206031,0,-3,-9,3,-2,-40,-20,0
1622149849206031,10,-1,6,-8,-12,39,38,3
1622149849227785,-3,-2,-6,-1,7,-9,-5,-22
1622149849227785,-2,-5,-5,-3,4,22,-8,11
1622149849234850,-12,-2,0,-7,13,-2,-4,-35
1622149849234850,-4,0,-6,10,5,-3,-41,-10
1622149849243793,-3,-4,0,8,20,6,30,-8
1622149849243793,1,2,-1,-9,-5,-12,-5,11
1622149849249800,2,-2,-6,-17,-51,-9,2,20
1622149849249800,-4,2,1,11,51,5,25,6
1622149849265427,1,1,10,5,-44,-22,-47,-8
1622149849265427,-5,-3,-3,0,15,-11,-17,-19
1622149849272923,3,0,-6,6,18,-27,5,2
1622149849272923,1,-2,-2,-15,10,31,31,4
1622149849287902,1,-1,0,12,16,3,-14,8
1622149849287902,5,2,0,-2,15,23,-12,-13
1622149849288876,-4,-6,-16,-4,-9,34,2,23
1622149849288876,1,5,5,-4,3,-50,5,1
1622149849304894,-4,-1,5,4,22,11,15,-14
1622149849304894,0,-1,7,13,24,22,-2,-6
1622149849309907,1,2,4,-15,-40,31,4,18
1622149849309907,-4,-4,-15,14,1,-3,-12,-3
1622149849325365,0,1,5,-27,2,-18,25,-4
