timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615920427446570,1,0,-2,8,0,1,-3,1
1615920427446570,-2,-3,-3,-1,0,5,10,2
1615920427447568,-2,1,-1,-10,-2,-9,-41,-4
1615920427447568,-6,-1,-2,21,12,-5,4,-2
1615920427451558,9,-1,0,-9,-5,1,-3,0
1615920427451558,-3,1,-2,-4,-1,6,4,-2
1615920427459537,-1,0,0,-5,-4,-1,9,0
1615920427459537,2,1,-1,-5,-7,-7,3,0
1615920427466520,-8,-1,-3,4,1,2,-5,-1
1615920427466520,-2,0,1,-4,-4,-10,-6,-2
1615920427482503,-3,0,1,2,5,-1,2,-3
1615920427482503,7,1,0,-8,-3,2,-2,2
1615920427489496,-3,-3,0,1,3,0,4,0
1615920427489496,-1,-1,-4,-4,-14,2,-6,-11
1615920427513396,-16,-5,-3,6,6,-12,1,0
1615920427513396,-1,-2,0,-3,-3,-2,2,-1
1615920427514389,0,0,-2,-8,1,-1,-2,-4
1615920427514389,-2,-2,-3,-9,-7,-4,-1,2
1615920427520378,5,1,11,6,1,14,4,0
1615920427520378,-3,-3,-1,-2,2,-7,-9,-3
1615920427526363,5,-2,-6,-4,-1,-12,-1,-1
1615920427526363,-3,-2,-1,9,2,-2,-9,-1
1615920427542347,3,0,-6,3,-1,3,11,0
1615920427542347,0,0,6,-5,-3,0,2,-5
1615920427549297,-4,0,-1,4,3,8,2,-3
1615920427549297,-3,-2,3,7,4,-6,4,3
1615920427565253,3,2,-8,-14,-17,-3,0,-1
1615920427565253,-1,0,7,0,4,9,3,0
1615920427567248,-1,-1,-2,0,-1,-7,-3,-2
1615920427567248,3,-1,-2,0,2,0,-2,6
1615920427580306,2,1,-2,2,1,-5,-3,-4
1615920427580306,-3,-1,-3,-5,-4,2,-1,0
1615920427587195,0,-2,-4,-10,-3,1,-8,-2
1615920427587195,-5,1,14,16,3,-3,1,1
1615920427602201,13,0,2,-6,-1,-1,-5,5
1615920427602201,-6,-4,-7,-2,1,-3,29,0
1615920427609308,-3,-2,1,13,5,3,-5,-6
1615920427609308,-2,0,1,-8,-4,-2,4,1
1615920427625379,-1,-2,-3,3,2,9,-2,0
1615920427625379,2,-1,-3,-7,-5,-1,0,-2
1615920427627338,-2,0,4,14,0,-8,2,0
1615920427627338,1,-1,-4,-9,-2,2,-6,-3
1615920427640300,-3,-5,0,-9,-5,-4,7,1
1615920427640300,3,-2,-5,-4,-2,4,-5,3
1615920427646311,3,0,1,-3,-4,-3,-2,-1
1615920427646311,1,-2,-5,13,1,1,-4,-3
1615920427662243,-3,-3,-1,0,7,1,0,5
1615920427662243,-3,-2,-3,1,-4,2,-8,-6
1615920427669224,-1,0,-1,-13,-8,-9,-3,0
1615920427669224,0,-1,5,0,-2,-8,1,-3
1615920427693160,-10,-1,-5,-6,-1,0,1,1
1615920427693160,9,-1,-2,7,1,1,1,1
1615920427694157,-11,-3,0,-6,-3,0,-5,3
1615920427694157,10,1,-7,-14,-2,-2,-8,-1
1615920427699162,-2,1,4,13,5,5,0,-1
1615920427699162,-5,2,5,1,-3,-14,-11,1
1615920427708119,-1,-2,-2,-7,-2,6,11,-2
1615920427708119,-2,-2,-2,-8,-1,2,2,-1
1615920427723080,2,0,-4,4,0,-5,-10,-2
1615920427723080,-4,-2,-5,-5,1,7,2,-1
1615920427729064,-1,1,4,0,1,3,2,-1
1615920427729064,-1,1,0,5,4,-9,-12,0
1615920427746023,-4,-4,-9,-1,5,-1,3,-14
1615920427746023,2,0,1,4,-4,-2,0,2
1615920427748013,12,1,-1,-6,-4,-3,0,2
1615920427748013,-3,-3,-3,-6,-3,4,4,-2
1615920427759981,0,-2,-4,-2,1,-2,-3,0
1615920427759981,-6,-1,-4,3,1,-4,-4,0
1615920427767960,10,0,-1,-7,-6,-3,0,-1
1615920427767960,-1,-2,0,-3,-1,9,-1,0
1615920427790007,1,-2,0,0,-1,-3,2,-1
1615920427790007,-2,0,0,8,7,-2,-3,-2
1615920427806859,-7,-4,-2,2,1,-5,-1,-1
1615920427806859,-3,0,0,-5,-6,-2,4,-1
1615920427808013,-2,0,5,2,3,1,-1,0
1615920427808013,-1,1,-1,-17,-5,4,2,-1
1615920427809032,-3,0,4,15,3,1,-7,-5
1615920427809032,2,-1,-5,9,5,-1,0,0
1615920427820090,0,0,-4,-11,-4,-4,3,1
1615920427820090,-4,-2,-2,-2,-3,-3,2,6
1615920427826966,10,-1,-2,-11,-9,6,-34,-7
1615920427826966,-10,-3,-1,7,5,0,7,-1
1615920427841924,11,0,-1,6,-3,-3,-3,-1
1615920427841924,-3,-2,-1,-3,0,1,-1,0
1615920427850900,-6,0,-1,-16,-8,0,6,2
1615920427850900,-3,-1,-1,4,1,-5,6,-3
1615920427865966,-5,-1,-1,1,0,-7,-13,0
1615920427865966,2,-1,-5,1,-3,3,-3,0
1615920427866858,-5,0,6,-1,1,2,5,1
1615920427866858,0,0,0,-3,-3,2,0,-2
1615920427894942,-2,-2,-3,0,-2,4,2,-1
1615920427894942,5,-3,-4,2,3,-8,0,-2
1615920427896937,-8,-3,1,5,3,-6,4,1
1615920427896937,1,1,5,-6,-2,0,-4,1
1615920427901948,-1,0,-3,-6,-9,-1,1,-1
1615920427901948,1,1,12,-2,-3,7,-4,-2
1615920427909003,-3,-4,-9,12,8,10,2,1
1615920427909003,0,-2,-3,-5,-3,-26,-4,-2
1615920427925077,-2,-1,1,-7,-4,-8,-32,-3
1615920427925077,-2,-2,-5,-2,0,-1,-2,-5
1615920427927072,0,4,-3,-6,-6,-8,5,4
1615920427927072,2,-1,-1,1,4,8,0,-2
1615920427940196,-11,-2,1,14,8,0,9,0
1615920427940196,15,-2,-8,-14,-6,-5,-1,0
1615920427946206,-3,-1,1,11,0,5,-1,-1
1615920427946206,-1,1,1,-9,-3,-6,-4,-2
1615920427962300,-1,-1,-4,3,1,1,6,-1
1615920427962300,-2,1,4,-3,2,-2,-7,-3
1615920427969282,-1,-1,-6,5,2,-2,4,-2
1615920427969282,3,-3,-14,-6,-5,0,6,0
1615920427993216,0,2,8,2,-3,5,5,2
1615920427993216,-8,-3,-4,-9,-10,6,-4,-2
1615920427994215,1,-2,-1,2,1,-16,-6,-2
1615920427994215,-1,1,1,0,-2,-1,0,2
1615920427999219,0,0,-3,-5,-4,3,-1,-2
1615920427999219,-2,-1,-2,5,1,4,3,0
1615920428008176,-1,0,1,-2,-1,-3,-3,-2
1615920428008176,-2,2,4,-1,1,4,4,-1
1615920428023187,1,-5,-9,-15,-8,-11,-5,4
1615920428023187,-4,2,15,21,3,-3,-3,-5
1615920428031151,-3,-2,-4,-10,-4,8,3,-1
1615920428031151,-2,-5,-2,5,4,0,7,-1
1615920428045104,0,2,8,-1,-2,1,-30,-3
1615920428045104,-3,-1,-7,4,1,-9,-3,-3
1615920428047099,2,-1,-4,-8,-2,-2,2,1
1615920428047099,-1,-2,-2,3,-1,7,-4,0
1615920428068459,-3,-2,0,-5,-3,0,9,5
1615920428068459,-4,-1,-3,0,7,-2,2,-3
1615920428069459,2,0,1,-3,-11,-1,-2,-1
1615920428069459,0,-1,-3,-14,-5,-1,-7,-1
1615920428082428,-4,-1,0,6,5,3,9,-3
1615920428082428,-1,-3,-6,1,-3,-4,-3,0
1615920428096410,-1,-3,0,-5,-1,1,4,-2
1615920428096410,-5,-1,2,3,2,-3,-2,-2
1615920428105750,-2,-2,-1,3,-1,7,6,-2
1615920428105750,5,3,4,-5,-2,-3,5,3
1615920428106752,-3,-3,-5,-6,0,-2,-1,-3
1615920428106752,2,1,-2,4,0,0,-15,-1
1615920428127523,-2,-3,-3,-1,6,-13,2,-5
1615920428127523,-1,-1,-3,13,2,-1,2,1
1615920428128520,2,-1,0,-7,-4,3,13,1
1615920428128520,-1,-1,-1,-3,2,1,0,1
1615920428143479,3,-2,-4,-7,-2,-2,3,1
1615920428143479,-4,-2,-1,-3,-5,-5,-6,-6
1615920428149467,0,1,1,-2,1,-3,1,-1
1615920428149467,-4,-4,-1,7,-1,8,10,-1
1615920428164422,2,-2,0,-1,-1,-7,-3,-3
1615920428164422,1,-2,2,-11,-6,3,4,1
1615920428165419,-8,-1,-1,10,9,-1,-6,1
1615920428165419,7,-2,-4,-11,-11,-1,-6,-5
1615920428187384,0,1,2,0,-2,6,5,1
1615920428187384,-1,0,-2,-3,0,-1,-1,2
1615920428188357,-2,-2,2,7,3,-6,-6,-3
1615920428188357,-4,-1,1,-2,-1,0,0,-1
1615920428203320,2,-1,-8,-1,2,2,2,-1
1615920428203320,1,-1,4,-7,-6,4,-1,2
1615920428209304,5,2,6,6,-1,-5,-7,0
1615920428209304,-2,-1,-7,-1,4,-7,-1,-2
1615920428232252,-2,0,11,8,-2,3,3,-2
1615920428232252,0,-6,-9,2,3,6,19,0
1615920428233237,-2,0,-3,-10,-5,0,-5,0
1615920428233237,0,1,1,-1,-4,-10,-3,10
1615920428248104,0,0,-2,-1,0,-2,-4,-8
1615920428248104,-4,-1,-2,1,6,-2,5,-1
1615920428249104,2,-1,0,11,5,0,2,1
1615920428249104,0,-1,-1,-17,-13,1,1,0
1615920428271073,-3,-1,-2,9,0,-6,-2,-4
1615920428271073,1,-1,-3,-8,0,3,-4,2
1615920428272042,5,1,4,-1,0,2,4,-1
1615920428272042,-1,2,9,8,2,-4,-10,-3
1615920428292986,-3,-2,-4,-6,-5,3,1,1
