timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615922439158181,-2,2,6,2,5,-12,-4,-3
1615922439158181,1,-2,-12,-1,35,4,2,3
1615922439165162,-4,0,11,-1,-46,-5,-2,-4
1615922439165162,-4,-6,-34,-7,23,14,2,0
1615922439181121,0,-2,30,11,-26,-8,-3,0
1615922439181121,1,5,-8,-5,7,6,0,0
1615922439182117,-5,-5,-5,-7,-5,-12,-2,-3
1615922439182117,1,2,1,0,8,14,1,2
1615922439195085,-2,-5,-20,-12,-34,-15,-3,-3
1615922439195085,-2,2,17,13,8,-1,-1,-1
1615922439203085,0,2,-3,-2,31,-7,0,0
1615922439203085,-3,-3,11,1,-16,-23,-4,-2
1615922439226306,-1,-5,-14,7,108,29,2,1
1615922439226306,-2,2,5,-2,-12,-7,-3,-3
1615922439226306,-1,0,-13,-5,7,-2,0,-2
1615922439226306,0,0,25,15,49,5,1,2
1615922439241265,-1,-4,-5,-7,-38,-9,-2,-2
1615922439241265,-1,-2,-17,0,37,6,0,-1
1615922439241265,2,4,20,4,4,4,-1,1
1615922439241265,-4,1,-2,-1,-40,-10,-2,-5
1615922439255230,0,1,-13,-5,-19,-4,-1,-1
1615922439255230,1,1,25,3,14,-16,-2,-1
1615922439263229,1,-5,-16,-6,-28,-7,-1,0
1615922439263229,1,3,9,7,7,-3,2,-2
1615922439278169,-3,2,13,-3,-17,-5,2,1
1615922439278169,-1,-4,-12,-11,66,1,0,1
1615922439285173,-1,0,5,8,-6,-4,-2,-1
1615922439285173,-3,0,-8,-12,-8,-4,-1,-2
1615922439301105,-1,-3,-4,-1,63,-1,-2,-1
1615922439301105,-1,-1,1,1,-49,0,-3,-2
1615922439302103,0,-1,-10,-8,41,1,1,1
1615922439302103,1,-4,-12,4,-7,6,3,1
1615922439315092,1,-1,3,-10,-25,-6,0,2
1615922439315092,-1,1,-3,1,-42,-13,-1,-1
1615922439322602,0,-2,-7,7,8,-1,-2,-1
1615922439322602,-1,-1,6,-5,-4,0,-2,0
1615922439337593,0,-2,-12,-5,-12,-9,-2,-2
1615922439337593,-2,-4,0,1,-7,8,1,-3
1615922439345541,-5,-6,-15,-16,-88,-11,-2,-4
1615922439345541,-2,0,5,0,13,-1,-1,0
1615922439360501,-1,-2,5,10,21,13,0,1
1615922439360501,-1,-3,-28,-14,-5,2,-2,0
1615922439361498,0,3,28,6,23,2,1,0
1615922439361498,-2,-1,6,-3,-33,3,-3,-2
1615922439375461,-2,-3,1,2,9,-22,-1,-3
1615922439375461,0,-4,-18,-3,18,8,0,2
1615922439382445,3,5,13,9,36,-1,-4,-1
1615922439382445,-2,-5,-7,1,8,5,-1,-3
1615922439397426,0,-2,-16,-15,-23,5,2,2
1615922439397426,-4,-3,17,10,-46,-2,-1,-2
1615922439405404,-4,-6,-10,-1,20,3,1,-2
1615922439405404,1,5,20,2,1,0,0,1
1615922439420898,1,4,2,1,6,-4,-3,-2
1615922439420898,1,1,-4,-3,-54,-13,-1,2
1615922439421923,-3,-3,-3,-7,3,0,-3,-4
1615922439421923,-1,-4,-17,-4,5,-9,-2,-2
1615922439437858,0,2,17,7,-41,19,4,0
1615922439437858,1,1,4,0,33,3,-3,-1
1615922439442860,-2,-4,-23,-6,-8,1,2,1
1615922439442860,0,6,8,10,-20,-7,-3,-1
1615922439457801,-1,-2,-10,-10,-67,1,-1,-2
1615922439457801,-3,-6,-4,-4,15,5,-1,-2
1615922439464809,2,3,5,0,14,1,-2,3
1615922439464809,-4,-4,-6,-8,24,6,0,-1
1615922439481735,1,6,5,11,2,-2,-1,0
1615922439481735,0,-1,2,0,-4,0,-2,-2
1615922439488717,1,-2,8,-4,-56,-5,0,-3
1615922439488717,-2,-3,4,5,10,0,0,0
1615922439494700,1,-1,-8,-6,8,-7,-4,-1
1615922439494700,-2,-5,-5,-10,-28,-26,-4,-3
1615922439510685,0,0,1,1,-21,-3,-1,4
1615922439510685,-2,4,10,7,6,-2,0,-4
1615922439517640,-4,-3,-10,1,5,-9,0,-3
1615922439517640,-1,-2,-7,-9,-17,18,0,-2
1615922439525619,0,0,-1,2,28,6,3,2
1615922439525619,2,-2,-8,-5,-39,-4,1,3
1615922439541575,-3,-2,1,-3,52,-1,-1,0
1615922439541575,-2,-1,6,7,2,0,-1,-1
1615922439542572,-2,3,4,-3,14,0,0,-1
1615922439542572,-2,-6,-20,-3,19,11,-1,-1
1615922439555571,3,6,28,5,-17,1,0,1
1615922439555571,0,-3,-18,-5,-7,0,0,1
1615922439562519,-3,-1,7,8,19,-20,-7,-6
1615922439562519,1,-4,-20,-14,-9,1,1,4
1615922439577505,-5,-3,37,17,-13,-8,0,-3
1615922439577505,0,9,1,-2,2,7,1,1
1615922439585482,1,-3,-6,-11,-36,1,1,-3
1615922439585482,-2,-3,-6,5,37,-4,-2,-1
1615922439600418,1,-5,-4,2,66,5,1,1
1615922439600418,2,1,6,5,14,-2,2,1
1615922439601429,-3,-1,8,0,34,4,-1,-1
1615922439601429,1,1,-10,-1,28,3,0,-1
1615922439615404,0,-3,-10,-8,-14,10,0,-2
1615922439615404,-1,-2,5,2,1,-23,-2,-2
1615922439622359,1,1,-12,-6,-30,-1,0,1
1615922439622359,-1,-1,9,-1,-26,1,-2,-1
1615922439637354,-1,0,-26,-9,14,3,-1,0
1615922439637354,1,6,41,13,-10,0,-2,-1
1615922439645321,-2,-1,3,2,-13,1,-1,-2
1615922439645321,-3,-6,-15,-7,4,-1,-1,-4
1615922439661255,0,1,1,-3,-32,-12,-3,-2
1615922439661255,0,-3,-4,-3,51,10,2,0
1615922439661255,1,3,-2,-4,-74,-9,-3,-1
1615922439661255,0,2,17,5,31,2,0,-1
1615922439677213,-3,-6,-20,-13,19,17,-1,-1
1615922439677213,0,1,0,1,-6,-11,1,0
