timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615918476018663,-1,-2,-7,-6,4,7,-2,-1
1615918476018663,-2,0,-13,-14,-6,-1,4,-2
1615918476019661,-2,-5,-12,-22,-3,-12,-17,-3
1615918476019661,3,2,31,61,4,-1,2,2
1615918476024647,-2,-1,-16,-30,-3,6,1,-2
1615918476024647,-1,2,28,9,0,-6,-2,0
1615918476033624,-1,-2,-33,-20,-4,3,5,0
1615918476033624,-2,-1,10,-25,-5,-4,-3,-4
1615918476048583,-2,-4,-20,-9,0,-2,-3,-2
1615918476048583,2,1,1,22,-1,-1,1,1
1615918476049581,-3,0,-3,-29,-3,-4,1,-1
1615918476049581,-4,-5,-2,-20,-4,-3,3,-2
1615918476071546,1,1,14,16,0,5,-1,1
1615918476071546,0,0,8,25,3,-2,0,0
1615918476072520,0,0,1,-1,-3,-1,3,-2
1615918476072520,1,1,-14,-26,0,-1,-9,2
1615918476085484,0,1,15,5,-1,1,3,-2
1615918476085484,-1,-4,-18,-8,-1,1,-4,-1
1615918476093463,1,-2,-7,14,-1,5,3,1
1615918476093463,-1,-4,-11,-7,-1,-9,-4,-1
1615918476108423,0,-4,-18,-26,-3,-1,0,-1
1615918476108423,1,1,21,27,-1,5,-2,-2
1615918476109421,-1,2,8,12,0,2,3,-1
1615918476109421,-1,-3,1,-18,-1,5,-3,-2
1615918476131362,-1,-2,-24,4,3,3,4,0
1615918476131362,-1,-4,-6,-14,-1,-8,-11,-3
1615918476132360,2,-1,3,-4,-1,1,-5,0
1615918476132360,-2,-1,15,17,1,-2,0,0
1615918476145325,2,5,9,10,4,4,6,4
1615918476145325,-2,-2,-10,-19,-2,3,4,1
1615918476153305,-2,-2,3,-8,3,-7,0,0
1615918476153305,0,1,6,17,0,3,-1,-1
1615918476169261,-4,-4,-22,-2,-2,-4,-3,-3
1615918476169261,-1,1,16,-12,-2,-2,1,1
1615918476169261,-3,-1,-10,3,2,-2,-4,-3
1615918476169261,3,1,-5,1,-3,2,4,1
1615918476191202,-1,-4,1,-19,-3,-2,0,0
1615918476191202,-1,2,2,21,3,-1,-15,-4
1615918476192203,-3,-5,-17,-3,-3,0,3,-1
1615918476192203,-2,-4,-34,-7,0,1,1,-1
1615918476205164,0,-2,-2,17,-1,-7,-5,1
1615918476205164,-1,0,-6,-23,0,-9,1,-1
1615918476212900,-3,-1,20,14,-1,4,0,-1
1615918476212900,-3,-4,-17,-20,-1,-3,-3,-2
1615918476227860,2,4,17,16,1,3,-2,-1
1615918476227860,-2,-3,-11,-5,-2,3,12,1
1615918476228857,-2,-4,-8,5,-2,-3,-13,-2
1615918476228857,-2,3,1,-42,-4,-4,8,0
1615918476251578,-3,-3,21,33,1,1,-10,-3
1615918476251578,1,0,15,3,-1,-4,2,1
1615918476252554,1,0,-20,5,-2,-1,2,1
1615918476252554,0,0,18,2,-5,-5,-8,-2
1615918476265519,1,-1,-21,-7,1,1,3,1
1615918476265519,-4,3,-1,-5,0,-1,0,-3
1615918476273521,-1,-2,-3,-21,-1,8,-3,-2
1615918476273521,0,0,10,28,-9,-11,-3,0
1615918476288481,1,-2,-11,-17,-2,-8,-2,0
