timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615918626932590,1,1,-3,-4,-3,1,2,1
1615918626932590,1,1,1,-4,-3,2,-3,0
1615918626933563,-3,-2,-2,2,5,-3,2,-6
1615918626933563,-1,-1,-3,-2,-1,0,-3,-1
1615918626954533,1,-1,-1,-1,-4,4,0,2
1615918626954533,0,-2,0,4,0,0,0,-2
1615918626956503,-1,-2,-2,-1,2,-4,-2,-3
1615918626956503,2,1,-1,-2,-1,2,-2,1
1615918626968551,-2,-1,1,-1,0,0,0,1
1615918626968551,-2,-1,-1,-2,0,-5,-2,-2
1615918626983788,-1,1,0,-4,-3,1,0,0
1615918626983788,0,0,0,-1,-1,0,1,3
1615918626992727,0,-3,-2,3,4,0,-7,-4
1615918626992727,-2,1,-3,-3,-1,-3,1,-1
1615918626993723,0,-2,-1,-3,-4,0,7,7
1615918626993723,0,-2,-2,1,-1,-2,-5,-3
1615918627014665,-3,-2,-1,1,3,-4,-1,-3
1615918627014665,1,-1,-2,-2,-1,5,2,2
1615918627016183,2,-1,-1,1,-1,0,0,0
1615918627016183,-4,-4,-4,1,1,-2,-3,-6
1615918627028274,-1,0,0,-1,-2,-2,1,3
1615918627028274,0,1,0,-2,-3,1,-5,0
1615918627037227,-4,-1,-1,1,1,-4,-2,-5
1615918627037227,-3,-1,-2,-4,-2,-4,-1,-1
1615918627052380,1,-1,-3,-4,-2,3,-4,2
1615918627052380,-3,-1,0,2,-1,-2,0,-1
1615918627054375,-3,-3,-2,0,-3,-10,-5,-6
1615918627054375,1,1,1,-1,-3,4,-2,2
1615918627075408,0,-1,-1,-3,-4,0,1,1
1615918627075408,-2,-3,-1,2,2,-5,-2,-5
1615918627076408,0,0,-1,-2,-2,5,-1,0
1615918627076408,0,1,0,-2,-4,-1,-1,-1
1615918627088804,-3,1,-1,1,2,-5,-1,-4
1615918627088804,-1,-1,-2,1,1,0,1,-2
1615918627097312,1,1,0,-5,-4,1,0,3
1615918627097312,-2,-2,-2,2,1,0,7,2
1615918627112804,0,-1,-1,-1,1,-1,0,-6
1615918627112804,1,1,-3,-6,-5,2,-3,7
1615918627113804,-1,-1,-3,-1,-2,2,-4,0
1615918627113804,-2,-3,0,1,4,-5,-2,-3
1615918627135298,0,-1,0,-4,-2,2,0,0
1615918627135298,-1,0,0,2,-2,4,-4,0
1615918627136298,-3,-2,-2,1,3,-6,22,-1
1615918627136298,1,0,-1,-1,1,4,-2,0
1615918627157770,0,1,0,-1,-3,3,0,3
1615918627157770,-2,-2,-2,-2,-1,-6,-4,-8
1615918627159540,-1,-1,-1,1,-1,-2,-5,-6
1615918627159540,0,0,-2,-5,-6,-1,-1,1
1615918627180325,-1,-1,-1,-1,-4,-4,-4,-1
1615918627180325,-1,-1,-1,-3,0,-6,-2,-4
1615918627181325,0,0,-1,-2,0,4,-4,1
1615918627181325,1,0,-2,-2,-4,0,-5,2
1615918627194901,-2,-4,0,0,0,-5,7,1
1615918627194901,-1,-1,0,0,3,-3,-2,-1
1615918627197816,0,1,0,-1,-7,1,-4,2
1615918627197816,-2,-1,0,3,2,-1,-1,-5
1615918627208995,-1,1,-3,-4,-1,-3,1,-3
1615918627208995,0,-3,0,-2,-2,1,1,6
1615918627217034,0,-1,-2,1,2,-1,-3,-3
1615918627217034,-4,-3,-2,2,2,-2,-2,-5
1615918627232822,-1,1,-1,0,-2,1,-2,0
1615918627232822,-1,0,1,-4,-4,0,1,3
1615918627233821,-3,-2,-2,1,0,-4,-7,-8
1615918627233821,-1,0,0,-2,0,-1,0,1
1615918627253821,1,2,0,0,-4,4,0,3
1615918627253821,-4,-2,-2,1,1,0,-2,-6
1615918627262853,-1,-1,-2,0,3,-3,0,0
1615918627262853,3,2,0,-3,-2,2,3,2
1615918627268364,-1,0,0,0,0,-2,-1,-1
1615918627268364,-2,-3,-1,1,1,-5,-3,-7
1615918627277313,-1,1,-1,-4,-4,5,2,4
1615918627277313,0,-1,1,1,-5,-2,-5,-2
1615918627292788,-3,-5,-2,-1,1,-6,-8,-7
1615918627292788,-1,1,-1,-2,-3,1,3,-2
1615918627294808,1,1,1,-3,-2,5,1,3
1615918627294808,-1,-1,-1,-1,-1,-6,-2,-4
1615918627315371,-2,-4,-2,-5,-4,-5,3,-1
1615918627315371,0,1,1,-1,-3,-1,-6,1
1615918627316370,-1,-2,-2,1,-1,-1,-1,0
1615918627316370,-1,-2,-1,1,2,-3,-1,-5
1615918627337719,-1,2,0,-1,-2,1,-4,-7
1615918627337719,2,0,-1,0,-3,4,7,6
1615918627338714,-4,-3,-1,0,3,-5,-4,-6
1615918627338714,-2,-2,0,0,-1,1,0,0
1615918627352695,1,-1,0,-2,-2,3,-2,4
1615918627352695,-1,-1,0,0,2,0,-2,-5
1615918627353700,-1,-2,0,0,0,-3,-1,-2
1615918627353700,0,0,-2,-1,-3,6,-3,3
1615918627375409,0,-1,-1,1,2,-1,1,-1
1615918627375409,-3,-2,-1,0,5,0,-1,-4
1615918627376989,1,-1,-2,-5,-4,-3,-3,3
1615918627376989,0,-1,-4,-3,-2,0,2,2
1615918627404780,-4,-4,-1,3,2,-1,-1,-3
1615918627404780,-1,0,-1,0,0,0,1,1
1615918627412821,1,-1,0,-2,-2,4,0,1
1615918627412821,-2,-4,-1,0,2,-2,-1,-4
1615918627413820,0,-1,-4,-1,0,-1,-1,-2
1615918627413820,1,1,0,-4,-10,-7,7,5
1615918627415819,-1,-1,-2,0,2,-1,-4,-2
1615918627415819,-2,-2,-1,0,4,-4,-1,-5
1615918627435086,-1,0,0,-3,-3,0,2,4
1615918627435086,-1,-1,0,0,0,2,-3,0
1615918627436706,-1,0,-3,2,1,-1,0,-5
1615918627436706,-1,0,-1,-4,-3,-2,1,1
1615918627457633,2,0,-2,-2,-3,2,0,1
1615918627457633,-2,-3,-3,1,4,-2,-4,-4
1615918627458633,-2,0,-1,-1,0,-3,0,-3
1615918627458633,0,-1,-1,0,-4,2,-3,1
1615918627472284,-2,0,0,-1,-5,-4,-2,-1
1615918627472284,-4,-2,-3,1,9,-3,-1,-4
1615918627478151,0,-1,0,-1,-8,1,-2,1
1615918627478151,1,0,-1,-2,-3,3,2,4
1615918627495792,-3,-2,0,1,4,-4,-2,-6
1615918627495792,0,2,-1,-3,-6,3,-2,-1
1615918627497786,0,1,1,-3,-6,0,0,4
1615918627497786,-2,-3,-2,3,2,-6,-1,-6
1615918627517322,-2,0,-1,0,1,-1,1,0
1615918627517322,0,-1,0,-1,1,2,-3,2
1615918627519319,-2,-2,-1,0,-1,-1,-2,1
1615918627519319,-3,-2,-3,-1,-2,-2,9,0
1615918627532280,2,1,0,-2,0,0,-2,0
1615918627532280,1,-2,-1,-2,-2,1,2,0
1615918627538927,-3,-2,-2,2,5,-5,-2,-5
1615918627538927,0,0,0,-4,-1,2,0,1
1615918627554997,1,-1,-2,-1,-4,1,-5,4
1615918627554997,-2,-3,-2,1,-1,-3,-6,-5
1615918627555970,0,0,-2,-2,1,-1,0,-2
1615918627555970,1,0,1,-2,-4,3,0,0
1615918627584412,0,-1,0,0,-2,-3,-4,-1
1615918627584412,-1,-3,0,1,1,-3,-1,-4
1615918627586410,-1,1,-1,-1,-2,5,5,2
1615918627586410,-2,0,-1,3,-2,-5,-8,0
1615918627591391,-4,-4,-4,-3,0,-6,-2,-6
1615918627591391,1,0,-2,-2,-4,1,2,1
1615918627599064,-1,0,-2,-2,-5,-3,-3,-4
1615918627599064,-2,-3,0,1,1,-6,-5,-4
1615918627615419,-1,-2,-2,-1,-2,0,2,-1
1615918627615419,0,2,0,-2,-3,1,1,2
1615918627616418,-1,-3,-1,1,0,-2,5,4
1615918627616418,-3,-2,0,0,3,-1,-10,-9
1615918627637356,0,1,0,-3,-4,-1,2,4
1615918627637356,0,-2,-1,-2,-3,-2,-1,1
1615918627639377,-3,-2,0,3,4,-3,0,-4
1615918627639377,0,-1,-1,-6,-14,-3,2,1
1615918627651810,-1,0,0,-1,-1,4,-1,2
1615918627651810,-3,-2,0,1,0,-5,-4,-5
1615918627658682,-2,-1,-2,-1,2,-4,-5,-4
1615918627658682,0,1,-2,-2,-1,1,2,3
1615918627675371,1,-2,0,2,-2,-2,-2,-3
1615918627675371,-3,-3,-2,-1,3,-2,-1,-5
1615918627677077,1,1,2,-2,-2,3,-2,2
1615918627677077,-1,-2,0,3,2,3,-1,-1
1615918627697854,-3,-2,-3,1,4,-3,1,-4
1615918627697854,0,-1,0,-1,-1,0,2,0
1615918627699825,-1,0,1,-3,-2,2,-1,3
1615918627699825,-3,-4,-2,0,-3,-3,-2,-4
1615918627711574,-2,0,0,-2,1,1,-3,-1
1615918627711574,2,1,-1,-3,-3,5,1,5
1615918627735947,-1,-2,-4,-2,-2,-3,-3,-2
1615918627735947,0,-1,-2,-1,4,-6,-1,-2
1615918627735947,-2,-2,0,-2,-6,2,-3,-1
1615918627735947,0,0,0,-3,-7,-3,2,8
1615918627737665,-3,-3,-3,0,3,-3,4,-2
1615918627737665,0,1,-1,-2,0,3,3,2
1615918627757777,0,-1,-2,-1,-1,4,0,3
1615918627757777,-3,0,-1,2,2,-2,-5,-5
1615918627758801,0,0,-1,-3,-1,-2,0,-2
1615918627758801,1,1,1,-4,-2,-1,0,3
1615918627771466,-1,-1,0,0,0,-2,-3,-3
1615918627771466,-2,-3,-2,0,2,-4,-2,-4
1615918627778432,0,0,1,-3,-4,-2,-1,0
1615918627778432,-2,-1,-2,0,-3,2,-2,-3
1615918627794771,-4,-3,-1,-1,3,-3,-2,-5
1615918627794771,-2,0,-2,-2,-1,3,3,3
1615918627796740,2,-1,1,-1,-4,4,-4,-1
1615918627796740,-4,-3,-2,-1,0,-8,-5,-5
1615918627817659,1,1,-1,-3,-2,-1,1,1
1615918627817659,-1,2,1,-3,-6,1,1,0
1615918627818656,-1,-4,-1,4,3,-1,-2,-1
1615918627818656,0,1,-2,1,4,-1,0,-1
1615918627840345,1,-1,-1,-1,-4,1,-2,1
1615918627840345,-1,-1,0,-1,-3,-3,-1,-1
1615918627841345,-3,-2,-2,0,0,-5,-13,-14
1615918627841345,0,0,-2,-1,2,1,2,0
1615918627862695,1,-2,-1,-1,-7,1,-9,0
1615918627862695,-4,-5,-1,4,3,-3,19,-10
1615918627863694,-2,1,0,0,0,0,2,3
1615918627863694,2,-1,1,1,0,7,2,3
1615918627877777,-1,-1,-2,-1,0,-9,-5,-5
1615918627877777,0,0,-4,-2,1,-3,0,-1
1615918627878686,0,0,0,-2,-3,5,5,5
1615918627878686,-1,-1,0,0,-6,-1,-3,-1
1615918627890735,-2,-2,-1,2,1,-3,0,-2
1615918627890735,1,-3,-2,-2,-3,3,-5,0
1615918627899707,0,-1,-1,-2,-2,-8,0,3
1615918627899707,-4,-1,-1,-1,4,-3,-4,-3
1615918627914820,0,1,-1,-1,-4,-1,2,1
1615918627914820,-3,1,0,-2,0,4,-5,2
1615918627916761,0,-2,0,0,-1,1,-2,-4
1615918627916761,-1,-1,-2,-1,0,-3,1,-2
